date,4b. close (USD)
2022-04-05,46524.99
2022-04-04,46580.51
2022-04-03,46407.35
2022-04-02,45811.0
2022-04-01,46283.49
2022-03-31,45510.34
2022-03-30,47067.99
2022-03-29,47434.8
2022-03-28,47122.21
2022-03-27,46827.76
2022-03-26,44511.27
2022-03-25,44313.16
2022-03-24,43991.46
2022-03-23,42882.76
2022-03-22,42364.13
2022-03-21,41002.25
2022-03-20,41262.11
2022-03-19,42201.13
2022-03-18,41757.51
2022-03-17,40917.9
2022-03-16,41114.0
2022-03-15,39280.33
2022-03-14,39671.37
2022-03-13,37777.34
2022-03-12,38807.36
2022-03-11,38729.57
2022-03-10,39422.0
2022-03-09,41941.71
2022-03-08,38730.63
2022-03-07,37988.0
2022-03-06,38420.81
2022-03-05,39397.96
2022-03-04,39148.66
2022-03-03,42454.0
2022-03-02,43892.98
2022-03-01,44421.2
2022-02-28,43160.0
2022-02-27,37699.07
2022-02-26,39116.72
2022-02-25,39219.17
2022-02-24,38327.21
2022-02-23,37250.01
2022-02-22,38230.33
2022-02-21,37008.16
2022-02-20,38386.89
2022-02-19,40079.17
2022-02-18,39974.44
2022-02-17,40515.7
2022-02-16,43873.56
2022-02-15,44544.86
2022-02-14,42535.94
2022-02-13,42053.66
2022-02-12,42217.87
2022-02-11,42373.73
2022-02-10,43495.44
2022-02-09,44372.72
2022-02-08,44042.99
2022-02-07,43839.99
2022-02-06,42380.87
2022-02-05,41382.59
2022-02-04,41574.25
2022-02-03,37311.61
2022-02-02,36896.36
2022-02-01,38694.59
2022-01-31,38466.9
2022-01-30,37881.76
2022-01-29,38166.84
2022-01-28,37716.56
2022-01-27,37160.1
2022-01-26,36809.34
2022-01-25,36958.32
2022-01-24,36660.35
2022-01-23,36244.55
2022-01-22,35071.42
2022-01-21,36445.31
2022-01-20,40680.91
2022-01-19,41660.01
2022-01-18,42352.12
2022-01-17,42201.62
2022-01-16,43071.66
2022-01-15,43084.29
2022-01-14,43059.96
2022-01-13,42560.11
2022-01-12,43902.66
2022-01-11,42729.29
2022-01-10,41822.49
2022-01-09,41864.62
2022-01-08,41679.74
2022-01-07,41566.48
2022-01-06,43082.31
2022-01-05,43451.13
2022-01-04,45832.01
2022-01-03,46446.1
2022-01-02,47286.18
